ICN,Corporation,Incorporation Date,Status,Status Date,Size,ABN,State,Post Code,Locality,Industry,ACNC Registered?,Numbe of Members,Numbe of Directors,Number of Directors with the Title 'Mr',Number of Directors with the Title 'Miss' or 'Mrs' or 'Ms',Number of Directors with no Sex-Identifying Title,Total Income 2019/20,Total Assets 2019/20,Number of Employees 2019/20,Total Income 2020/21,Total Assets 2020/21,Number of Employees 2020/21,Total Income 2021/22,Total Assets 2021/22,Number of Employees 2021/22,URL,,,,,,,,,,,,,
38,Patjarr Aboriginal Corporation,28/04/1980,Registered,28/04/1980,Small,61471395432,NT,0871,ALICE SPRINGS,Community services; Education and training; Health care and health promotion; Housing and tenancy; Municipal services; Other; Other services; Wholesale and retail trade (shops),Y,26,7,4,3,0,$100K - $5m,$100K - $2.5m,0,< $100K,< $100K, 1-4,< $100K,< $100K, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=38,,,,,,,,,,,,,
39,The Central West Aboriginal Corporation,12/12/1979,Registered,12/12/1979,Medium,47933231741,QLD,4725,BARCALDINE,Arts; Education and training; Employment; Housing and tenancy,,27,5,2,3,0,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=39,,,,,,,,,,,,,
40,Maryborough Aboriginal Corporation for Housing and Cultural Development,14/12/1979,Registered,14/12/1979,Medium,50649697383,QLD,4650,Maryborough,Arts; Community services; Education and training; Employment; Heritage and culture; Housing and tenancy; Land and waters management?care for Country; Manufacturing; Municipal services; Other; Other services; Wholesale and retail trade (shops),Y,34,7,1,6,0,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,$100K - $5m,> $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=40,,,,,,,,,,,,,
41,Broome Arts Group (Aboriginal Corporation),12/12/1979,Deregistered,29/11/1983,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=41,,,,,,,,,,,,,
42,Mindibungu Aboriginal Corporation,12/12/1979,Registered,12/12/1979,Small,14386280437,WA,6770,HALLS CREEK,Communication services; Housing and tenancy; Municipal services,Y,130,8,0,0,0,< $100K,> $2.5m,0,< $100K,> $2.5m,0,< $100K,> $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=42,,,,,,,,,,,,,
44,Mulan Aboriginal Corporation,12/12/1979,Registered,12/12/1979,Small,28163735214,WA,6770,HALLS CREEK,Community services; Municipal services; Other,Y,83,8,3,5,0,< $100K,$100K - $2.5m,0,< $100K,$100K - $2.5m,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=44,,,,,,,,,,,,,
45,Kamilaroi Aboriginal Corporation,14/01/1980,Deregistered,17/06/2002,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=45,,,,,,,,,,,,,
46,Moree Aboriginal Sobriety House Aboriginal Corporation,14/12/1979,Deregistered,23/10/1998,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=46,,,,,,,,,,,,,
47,Southern Districts Vigoro Aboriginal Corporation,14/12/1979,Deregistered,29/11/1983,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=47,,,,,,,,,,,,,
48,Balranald Community Aboriginal Corporation,18/01/1980,Deregistered,20/06/2012,Small,,NSW,2715,BALRANALD,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=48,,,,,,,,,,,,,
