ICN,Corporation,Incorporation Date,Status,Status Date,Size,ABN,State,Post Code,Locality,Industry,ACNC Registered?,Numbe of Members,Numbe of Directors,Number of Directors with the Title 'Mr',Number of Directors with the Title 'Miss' or 'Mrs' or 'Ms',Number of Directors with no Sex-Identifying Title,Total Income 2019/20,Total Assets 2019/20,Number of Employees 2019/20,Total Income 2020/21,Total Assets 2020/21,Number of Employees 2020/21,Total Income 2021/22,Total Assets 2021/22,Number of Employees 2021/22,URL,,,,,,,,,,,,,
3747,Middabugganoo Aboriginal Corporation,19/06/2001,Deregistered,24/10/2009,Medium,,WA,6701,CARNARVON,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3747,,,,,,,,,,,,,
3748,Waanyi Aboriginal Corporation,28/06/2001,Registered,28/06/2001,Medium,57022509408,QLD,4870,CAIRNS,Construction; Other,Y,53,5,4,1,0,$100K - $5m,$100K - $2.5m, 1-4,$100K - $5m,$100K - $2.5m,0,$100K - $5m,$100K - $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3748,,,,,,,,,,,,,
3749,Corella Creek Community Store Aboriginal Corporation,24/01/2001,Registered,24/01/2001,Small,,NT,0860,Tennant Creek,Community services; Health care and health promotion; Other; Wholesale and retail trade (shops),,18,5,0,5,0,< $100K,< $100K,0,,,,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3749,,,,,,,,,,,,,
3750,Thungutti Burrell Bulia Aboriginal Corporation,08/03/2001,Deregistered,6/04/2005,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3750,,,,,,,,,,,,,
3751,Mercedes Cove Aboriginal Corporation,24/01/2001,Registered,24/01/2001,Small,35933282193,WA,6725,BROOME,"Agriculture, aquaculture, forestry, fishing; Land and waters management?care for Country; Other",,9,8,4,4,0,< $100K,< $100K, 1-4,< $100K,< $100K, 1-4,< $100K,< $100K, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3751,,,,,,,,,,,,,
3752,Darrandarra Aboriginal Corporation,28/09/2001,Registered,28/09/2001,Small,57474145963,NT,0830,driver,Other,,27,4,2,1,0,,,0,,,,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3752,,,,,,,,,,,,,
3753,Djakunda Wakka Wakka Traditional Owners Aboriginal Corporation,19/06/2001,Deregistered,24/10/2009,Medium,,QLD,4670,BUNDABERG,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3753,,,,,,,,,,,,,
3755,Piarkoo Aboriginal Corporation,07/02/2001,Deregistered,24/10/2009,Medium,,WA,6646,WILUNA,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3755,,,,,,,,,,,,,
3757,La Perouse Community Aboriginal Corporation,09/03/2001,Deregistered,26/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3757,,,,,,,,,,,,,
3759,Ngadli Mudlunha Aboriginal Corporation,12/02/2001,Deregistered,7/03/2005,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3759,,,,,,,,,,,,,
3760,Winanggaay NSW Indigenous Youth Culture & Fitness Aboriginal Corporation,12/02/2001,Deregistered,20/06/2005,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3760,,,,,,,,,,,,,
3761,Gabinya CDEP Aboriginal Corporation,02/04/2001,Deregistered,21/06/2010,Medium,,NSW,2357,COONABARABRAN,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3761,,,,,,,,,,,,,
3762,Osborne Islands Aboriginal Corporation,22/02/2001,Deregistered,8/03/2023,Small,,WA,6740,KALUMBURU,Hospitality and tourism; Land and waters management?care for Country; Other,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3762,,,,,,,,,,,,,
3763,Toor-Rong Aboriginal Corporation,02/04/2001,Deregistered,24/10/2009,Medium,34040315864,VIC,3777,HEALESVILLE,Education and training; Employment; Land and waters management?care for Country,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3763,,,,,,,,,,,,,
3764,Gnarjl Aboriginal Corporation,02/03/2001,Registered,2/03/2001,Small,94292486565,WA,6330,GLEDHOW,Heritage and culture; Other,,37,4,2,2,0,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3764,,,,,,,,,,,,,
3765,Cherbourg Mens Action Group Aboriginal Corporation,02/03/2001,Deregistered,26/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3765,,,,,,,,,,,,,
3769,The Waugal Aboriginal Corporation,22/05/2001,Deregistered,24/10/2009,Medium,31628063067,WA,6207,NORTH DANDALUP,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3769,,,,,,,,,,,,,
3771,Kaltjiti Anangu Store Aboriginal Corporation,23/05/2001,Registered,23/05/2001,Medium,54557256054,NT,0870,ALICE SPRINGS,Other; Wholesale and retail trade (shops),,19,4,4,0,0,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,,, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3771,,,,,,,,,,,,,
3773,Yathapurrunha Aboriginal Corporation,26/03/2001,Deregistered,6/04/2005,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3773,,,,,,,,,,,,,
3775,Arabunna Finniss Springs Aboriginal Corporation,26/03/2001,Deregistered,9/08/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3775,,,,,,,,,,,,,
3776,Duhlgubadda Aboriginal Corporation,04/04/2001,Deregistered,31/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3776,,,,,,,,,,,,,
3777,Bunbury Women Aboriginal Corporation,25/05/2001,Registered,25/05/2001,Small,37046250845,WA,6230,BUNBURY,Communication services; Community services; Health care and health promotion; Other,,5,3,0,2,0,< $100K,< $100K,0,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3777,,,,,,,,,,,,,
3778,Barbarian Woorawa Aboriginal Sports and Recreation Corporation,05/04/2001,Deregistered,31/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3778,,,,,,,,,,,,,
3779,Ngarda Wirrart Aboriginal Corporation,02/04/2001,Deregistered,24/10/2009,Medium,,WA,6720,WICKHAM,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3779,,,,,,,,,,,,,
3780,Ngurangga Aboriginal and Torres Strait Islander Corporation for Housing,03/04/2001,Deregistered,20/06/2005,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3780,,,,,,,,,,,,,
3781,Marrambang Marra Aboriginal Corporation,09/05/2001,Deregistered,26/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3781,,,,,,,,,,,,,
3782,Hotham River Aboriginal Corporation,20/08/2001,Registered,20/08/2001,Small,79307143874,WA,6100,Burswood,Community services; Education and training; Employment; Health care and health promotion; Housing and tenancy; Other; Other services,Y,51,5,0,5,0,< $100K,< $100K,0,,,,,,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3782,,,,,,,,,,,,,
3783,Townsville Thuringowa Indigenous Peoples Community Employment Enterprise Development Aboriginal Corporation,18/04/2001,Deregistered,21/06/2010,Medium,35304820543,QLD,4814,AITKENVALE,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3783,,,,,,,,,,,,,
3784,Gia Traditional Aboriginal Corporation,18/04/2001,Deregistered,6/06/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3784,,,,,,,,,,,,,
3785,Bullen Aboriginal Corporation,18/04/2001,Deregistered,24/10/2009,Medium,,WA,6450,ESPERANCE,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3785,,,,,,,,,,,,,
3786,Emu Creek Bar-Barrum Aboriginal Corporation,20/04/2001,Registered,20/04/2001,Small,,QLD,4871,Petford,Land and waters management?care for Country; Other,,36,7,4,3,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3786,,,,,,,,,,,,,
3787,Nhantu Karra Karra Indigenous Aboriginal Corporation,21/08/2001,Deregistered,26/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3787,,,,,,,,,,,,,
3788,Kardaloo Aboriginal Corporation,18/04/2001,Deregistered,8/12/2020,Small,41087968158,WA,6630,MULLEWA,Housing and tenancy; Land and waters management?care for Country; Other services,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3788,,,,,,,,,,,,,
3789,Mamu Aboriginal Corporation RNTBC,18/04/2001,Registered,18/04/2001,Medium,20894321353,QLD,4860,Innisfail,Heritage and culture; Land and waters management?care for Country; Other,Y,348,7,3,3,0,,, 1-4,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3789,,,,,,,,,,,,,
3791,Euraba Paper Aboriginal Corporation,08/05/2001,Registered,8/05/2001,Small,98867066990,NSW,2409,BOGGABILLA,Arts; Manufacturing; Other,Y,29,3,0,2,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,$100K - $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3791,,,,,,,,,,,,,
3792,Bwgcolman Business Incubator Aboriginal Corporation,07/05/2001,Deregistered,31/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3792,,,,,,,,,,,,,
3793,Larlakirli Aboriginal Corporation,26/06/2001,Deregistered,24/05/2007,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3793,,,,,,,,,,,,,
3794,Cloncurry Performing Arts Aboriginal Corporation,02/08/2001,Deregistered,6/06/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3794,,,,,,,,,,,,,
3796,Nyakka Aboriginal Corporation,03/10/2002,Registered,3/10/2002,Small,,NSW,2350,ARMIDALE,Arts; Community services; Heritage and culture; Land and waters management?care for Country; Other; Other services,,30,5,2,3,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3796,,,,,,,,,,,,,
3797,Djumbun Aboriginal Corporation,05/06/2001,Deregistered,24/10/2009,Medium,,WA,6728,DERBY,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3797,,,,,,,,,,,,,
3798,Yelangi Aboriginal and Torres Strait Islander Corporation,25/05/2001,Deregistered,31/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3798,,,,,,,,,,,,,
3799,Dhigabilla Aboriginal Men Support Group Aboriginal and Torres Strait Islander Corporation,27/06/2001,Deregistered,26/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3799,,,,,,,,,,,,,
3801,Woolah-Wah Land Aboriginal Corporation,10/05/2001,Registered,10/05/2001,Small,23541226759,WA,6562,Bakers Hill,"Agriculture, aquaculture, forestry, fishing; Land and waters management?care for Country",,9,5,1,3,0,< $100K,$100K - $2.5m,0,< $100K,$100K - $2.5m,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3801,,,,,,,,,,,,,
3803,Wungkungkunya Aboriginal Corporation,22/08/2001,Deregistered,24/10/2009,Medium,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3803,,,,,,,,,,,,,
3804,Gilgandra Boori's Playgroup Aboriginal Corporation,29/06/2001,Registered,29/06/2001,Small,86663585173,NSW,2827,Gilgandra,Other,,33,4,0,4,0,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3804,,,,,,,,,,,,,
3805,Billa Downs Aboriginal Corporation,17/09/2001,Deregistered,1/06/2016,Medium,,VIC,3000,MELBOURNE,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3805,,,,,,,,,,,,,
3806,Gu-Gu-Bara-Bi Aboriginal Corporation,22/05/2001,Deregistered,31/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3806,,,,,,,,,,,,,
3807,Wulliberri Aboriginal Corporation,06/08/2001,Deregistered,24/10/2009,Medium,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3807,,,,,,,,,,,,,
3808,Nyurnpa Aboriginal Corporation,24/09/2001,Deregistered,27/06/2011,Small,,WA,6770,HALLS CREEK,Community services; Education and training; Health care and health promotion; Other,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3808,,,,,,,,,,,,,
3809,Gurra Gnardi Aboriginal Corporation,03/10/2001,Deregistered,22/06/2010,Medium,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3809,,,,,,,,,,,,,
3810,Moogardi Aboriginal Corporation,22/08/2001,Deregistered,27/06/2011,Small,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3810,,,,,,,,,,,,,
3811,Gidjee Dreaming Aboriginal Corporation,04/06/2001,Deregistered,6/06/2008,Medium,,WA,6701,CARNARVON,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3811,,,,,,,,,,,,,
3812,"""Ganja"" Housing Aboriginal Corporation",08/06/2001,Deregistered,18/02/2010,Medium,,NSW,2430,TAREE,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3812,,,,,,,,,,,,,
3813,Peak Hill Aboriginal Corporation,27/06/2001,Deregistered,26/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3813,,,,,,,,,,,,,
3814,Woganurra Aboriginal Corporation,27/06/2001,Registered,27/06/2001,Small,32528054003,NSW,2834,LIGHTNING RIDGE,"Agriculture, aquaculture, forestry, fishing; Arts; Communication services; Community services; Education and training; Employment; Health care and health promotion; Heritage and culture; Land and waters management?care for Country; Manufacturing; Mining and mining support services; Other; Other services; Wholesale and retail trade (shops)",,12,6,3,3,0,< $100K,< $100K,0,< $100K,< $100K, 1-4,< $100K,< $100K, 1-4,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3814,,,,,,,,,,,,,
3815,Ngadju Aboriginal Corporation,01/08/2001,Deregistered,8/03/2023,Small,79834813321,WA,6429,COOLGARDIE,Land and waters management?care for Country; Other,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3815,,,,,,,,,,,,,
3817,Banksia Grove Aboriginal Corporation,28/06/2001,Deregistered,24/10/2009,Medium,,WA,6031,Banksia grove,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3817,,,,,,,,,,,,,
3818,Geikie Aboriginal Corporation,19/06/2001,Registered,19/06/2001,Small,,QLD,4868,MOUNT SHERIDAN,Land and waters management?care for Country; Other,,39,8,5,2,0,< $100K,< $100K,0,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3818,,,,,,,,,,,,,
3819,Giere Jalbu (All Women) Aboriginal and Torres Strait Islanders Corporation,14/09/2001,Deregistered,19/09/2007,Not Sized,,QLD,4737,SARINA,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3819,,,,,,,,,,,,,
3820,South West Queensland Aboriginal Corporation,27/06/2001,Deregistered,31/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3820,,,,,,,,,,,,,
3821,Mathainab-au Fisheries (Torres Strait Islanders) Corporation,27/06/2001,Deregistered,31/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3821,,,,,,,,,,,,,
3822,Bari Dhabu Fisheries (Torres Strait Islanders) Corporation,27/06/2001,Registered,27/06/2001,Small,79715532710,QLD,4875,MABUIAG ISLAND,"Agriculture, aquaculture, forestry, fishing; Other",,40,4,3,1,0,< $100K,< $100K,0,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3822,,,,,,,,,,,,,
3823,Barraga Fisheries (Torres Strait Islanders) Corporation,27/06/2001,Deregistered,24/10/2009,Medium,,QLD,4875,THURSDAY ISLAND,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3823,,,,,,,,,,,,,
3824,Barambah Regional Medical Service (Aboriginal Corporation),22/08/2001,Deregistered,3/03/2015,Medium,68486254659,QLD,4605,CHERBOURG,Community services; Health care and health promotion,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3824,,,,,,,,,,,,,
3825,Banjyma Aboriginal Corporation,28/06/2001,Registered,28/06/2001,Small,86350045955,WA,6722,SOUTH HEDLAND,Other,,731,8,1,7,0,,,0,,,0,,,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3825,,,,,,,,,,,,,
3826,Milyuranpa Banjyma Aboriginal Corporation,28/06/2001,Registered,28/06/2001,Small,11165493615,WA,6722,SOUTH HEDLAND,Communication services; Community services; Heritage and culture,,170,8,1,7,0,< $100K,< $100K,0,< $100K,< $100K,0,,,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3826,,,,,,,,,,,,,
3827,Minadhu Aboriginal Corporation,28/06/2001,Registered,28/06/2001,Small,77929959940,WA,6722,SOUTH HEDLAND,Other; Other services,,235,8,4,4,0,,,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3827,,,,,,,,,,,,,
3828,Sydney Metropolitan Aboriginal Corporation,29/06/2001,Deregistered,29/10/2009,Medium,,NSW,2015,alexandria,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3828,,,,,,,,,,,,,
3829,Ngumee-Ngu Aboriginal Corporation,29/01/2002,Deregistered,13/02/2015,Small,,WA,6751,TOM PRICE,Land and waters management?care for Country; Other services,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3829,,,,,,,,,,,,,
3830,Ghungalou Aboriginal Corporation,22/08/2001,Registered,22/08/2001,Medium,58991385346,QLD,4061,THE GAP,Heritage and culture; Land and waters management?care for Country; Other,,174,5,3,2,0,$100K - $5m,$100K - $2.5m, 5-24,$100K - $5m,$100K - $2.5m, 1-4,$100K - $5m,$100K - $2.5m,> 24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3830,,,,,,,,,,,,,
3831,Narungga Nation Aboriginal Corporation for Land,15/10/2001,Registered,15/10/2001,Small,,SA,5000,Adelaide,Land and waters management?care for Country; Other,,398,10,7,3,0,< $100K,$100K - $2.5m,0,< $100K,< $100K,0,,,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3831,,,,,,,,,,,,,
3832,South West Aboriginal Land & Sea Council Aboriginal Corporation,20/06/2001,Registered,20/06/2001,Large,42485265673,WA,6004,EAST PERTH,Land and waters management?care for Country; Other; Other services,Y,6497,8,3,5,0,$100K - $5m,> $2.5m,> 24,$100K - $5m,> $2.5m, 5-24,> $5m,> $2.5m,> 24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3832,,,,,,,,,,,,,
3833,Wuni-Oombra Family Disability Respite Care Aboriginal Corporation,31/08/2001,Deregistered,24/10/2009,Medium,,QLD,4816,PALM ISLAND,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3833,,,,,,,,,,,,,
3834,Ananguku Arts and Cultural Aboriginal Corporation,04/03/2002,Registered,4/03/2002,Medium,74115486517,SA,5000,Adelaide,Arts; Communication services; Community services; Heritage and culture; Other; Other services,Y,76,6,2,4,0,$100K - $5m,$100K - $2.5m, 1-4,$100K - $5m,$100K - $2.5m, 1-4,$100K - $5m,$100K - $2.5m, 5-24,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3834,,,,,,,,,,,,,
3835,Appun Aboriginal Corporation,30/09/2001,Deregistered,22/06/2010,Medium,,QLD,4873,Mossman,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3835,,,,,,,,,,,,,
3836,Mer Peibre Dance and Cultural Troupe Torres Strait Islanders Corporation,21/08/2001,Registered,21/08/2001,Small,,NT,0810,ALAWA,Arts; Heritage and culture; Other,,9,3,1,2,0,< $100K,< $100K,0,< $100K,< $100K,0,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3836,,,,,,,,,,,,,
3837,Wahlbrywardu Aboriginal Corporation,30/08/2001,Deregistered,8/12/2020,Small,50813396455,WA,6064,MARANGAROO,Other; Other services,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3837,,,,,,,,,,,,,
3838,Nyaliga Aboriginal Corporation,17/07/2001,Deregistered,24/10/2009,Medium,,WA,6740,WYNDHAM,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3838,,,,,,,,,,,,,
3839,Nauiyu Boys Band Aboriginal Corporation,23/08/2001,Deregistered,22/06/2004,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3839,,,,,,,,,,,,,
3840,Yandruwandha Yawarrawarrka Traditional Land Owners (Aboriginal Corporation) RNTBC,02/08/2001,Registered,2/08/2001,Medium,23002211859,SA,5000,Adelaide,Land and waters management?care for Country; Other,Y,329,7,0,3,0,$100K - $5m,$100K - $2.5m,0,$100K - $5m,$100K - $2.5m,0,$100K - $5m,> $2.5m,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3840,,,,,,,,,,,,,
3841,Gurindji Aboriginal Corporation,02/08/2001,Deregistered,22/06/2010,Small,,NT,0852,KATHERINE,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3841,,,,,,,,,,,,,
3842,Gnow Industries Aboriginal Corporation,17/09/2001,Deregistered,8/12/2020,Small,43397959838,WA,6335,GNOWANGERUP,Other,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3842,,,,,,,,,,,,,
3843,Dangunyah Mawamball Aboriginal Womens Business Group,06/08/2001,Deregistered,15/05/2007,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3843,,,,,,,,,,,,,
3844,Maree Aboriginal Corporation Land Council,12/09/2001,Registered,12/09/2001,Small,29733895941,QLD,4370,Warwick,Heritage and culture; Other,,16,5,2,3,0,< $100K,< $100K,0,< $100K,< $100K,0,< $100K,< $100K,0,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3844,,,,,,,,,,,,,
3850,Southern Evangelical Aboriginal Corporation Armadale - Ministries (S.E.A.C.A. Ministries),19/10/2001,Deregistered,24/10/2009,Medium,,WA,6109,MADDINGTON,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3850,,,,,,,,,,,,,
3851,Pooncarrie Barkandji Aboriginal Corporation,24/08/2001,Deregistered,19/09/2007,Not Sized,,VIC,3500,MILDURA,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3851,,,,,,,,,,,,,
3852,Earth Dreaming Aboriginal Corporation,04/09/2001,Deregistered,24/10/2009,Medium,,NT,0810,MILLNER,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3852,,,,,,,,,,,,,
3853,New South Wales Aboriginal Junior Rugby League Association Aboriginal Corporation,13/09/2001,Deregistered,26/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3853,,,,,,,,,,,,,
3854,Pamika Aboriginal Corporation,22/08/2001,Deregistered,7/09/2009,Small,,NT,0860,Tennant Creek,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3854,,,,,,,,,,,,,
3855,Yumi Bama Kimiar Atami Aboriginal & Torres Strait Islander Corporation,21/08/2001,Deregistered,24/10/2009,Medium,,QLD,4740,MACKAY,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3855,,,,,,,,,,,,,
3856,Moree Kamilaroi Warriors (RLFC) Aboriginal Corporation,21/08/2001,Deregistered,26/05/2006,Not Sized,,,,,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3856,,,,,,,,,,,,,
3857,Indigenous Strategies  (Aboriginal & Torres Strait Islanders Corporation),03/10/2001,Deregistered,24/10/2009,Medium,,QLD,4810,TOWNSVILLE,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3857,,,,,,,,,,,,,
3858,Julbunj - Ngarrmun Aboriginal Corporation,21/08/2001,Deregistered,22/06/2010,Medium,,WA,6725,BROOME,,,,,,,,,,,,,,,,,https://register.oric.gov.au/PrintCorporationSearch.aspx?corporationName=&icn=3858,,,,,,,,,,,,,
